Open,High,Low,Close,Volume
61.13,61.2,60.45,60.9,17916255
60.79,61.68,60.72,61.65,18369296
61.86,62.31,61.68,62.26,24143241
62.24,62.44,60.64,60.82,35709867
61.19,61.33,60.3,60.82,31130522
61.81,62.29,59.32,62.19,34790520
62.39,63.98,62.29,63.96,37781334
64.33,64.46,63.85,64.38,25817952
64.26,64.55,64.08,64.28,19974427
64.19,64.37,63.84,64.31,18966124
64.69,65.09,64.53,64.86,23735083
64.67,65.11,64.21,65.04,17520495
64.58,65.62,64.57,65.55,20507459
65.39,65.7,65.23,65.49,21847226
65.28,66.19,65.27,66.12,25817593
65.94,66.22,65.53,65.66,22395556
65.92,66.44,65.75,66.44,25093666
66.45,66.86,66.06,66.78,21700897
66.97,67,66.35,66.57,19069597
66.39,66.52,65.1,65.8,26609919
65.92,66,65.3,65.5,30348778
65.65,65.8,65.21,65.44,16331263
65.68,66.61,65.63,66.59,21029517
66.74,66.79,65.63,66.07,26334882
66.4,67,66.33,66.96,16386122
66.65,67,66.47,66.81,11654363
66.82,67.06,65.86,66.04,23693550
64.58,64.88,64.07,64.86,29377268
65.27,65.83,65.17,65.44,16810388
65.95,66.47,65.68,66.4,18661343
66.87,67.75,66.83,67.68,26547493
67.5,67.7,66.23,66.73,32182645
67.15,67.52,66.47,67.12,22632383
67.2,67.78,67.13,67.69,19723391
66.94,68.14,66.83,67.86,34437042
67.86,68.83,67.73,68.79,33432806
69.25,70.2,69.25,69.97,32081105
69.89,70.44,69.7,70.1,28575798
69.95,70.47,69.78,69.94,29024687
69.88,70.3,69.74,70.01,24626947
70.56,70.66,69.64,69.86,69032743
70.13,71.06,70.09,71,24677883
71.17,71.22,70.73,71.07,12119714
71.21,72.5,71.18,72.48,23334004
72.78,73.49,72.03,72.45,36592936
72.36,73.17,71.31,72.88,36059614
72.48,73.42,72.38,73.41,25247625
74.06,75.15,73.8,75.09,33911864
74.29,75.15,74.13,74.36,36633878
73.45,74.99,73.19,74.95,29644644
74.96,75.22,74.37,74.6,27877655
74.29,76.11,74.29,75.8,33090946
76.81,77.61,76.55,77.41,42621542
77.65,78.17,77.06,77.58,35217272
77.91,79.27,77.79,79.24,30521722
79.18,79.39,78.04,78.17,40653457
77.96,78.88,77.39,77.83,30480882
78.4,78.93,78.02,78.81,27207254
79.07,79.69,78.75,79.68,34454117
79.3,79.76,79,79.14,27710814
79.65,80,79.33,79.43,25458115
79.48,79.89,78.91,79.81,26117993
80.06,80.83,79.38,79.58,36634380
77.52,77.94,76.22,77.24,40485005
78.15,79.6,78.05,79.42,40558486
81.11,81.96,80.35,81.08,54149928
80.14,81.02,79.69,80.97,31685808
80.23,80.67,77.07,77.38,49897096
76.08,78.37,75.56,77.17,43496401
78.83,79.91,78.41,79.71,34154134
80.88,81.19,79.74,80.36,29706718
80.64,81.31,80.07,81.3,26356385
80.59,80.85,79.5,80.01,29421012
78.55,80.39,78.46,80.39,27337215
80.9,80.97,79.68,79.9,23580780
80.37,81.81,80.37,81.8,28432573
81.05,81.56,80.84,81.22,23686892
81.19,81.5,80.71,81.24,20028447
78.84,79.94,78.65,79.75,38190545
80,81.14,80,80.91,23495991
80.66,81.16,79.55,80.08,25141489
79.66,80.11,77.63,78.26,32426415
74.32,76.05,72.31,74.55,55548828
75.24,75.63,71.53,72.02,57668364
71.63,74.47,71.63,73.16,49678431
70.28,71.5,68.24,68.38,80151381
64.32,69.6,64.09,68.34,106721230
70.57,75.36,69.43,74.7,85349339
75.92,76,71.45,72.33,79868852
74.11,75.85,73.28,75.69,54794568
73.88,74.89,72.85,73.23,46893219
70.5,72.71,70.31,72.26,56544246
65.94,69.52,65.75,66.54,71686208
69.29,71.61,67.34,71.33,71322520
69.35,70.31,67.97,68.86,64094970
63.99,67.5,62,62.06,104618517
66.22,69.98,63.24,69.49,92683032
60.49,64.77,60,60.55,80605865
61.88,64.4,59.6,63.22,81013965
59.94,62.5,59.28,61.67,75058406
